frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,tcp.flags,frame.len
"Apr  3, 2025 09:04:33.615580000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0018","1178"
"Apr  3, 2025 09:04:33.616632000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0018","1178"
"Apr  3, 2025 09:04:33.616755000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","114"
"Apr  3, 2025 09:04:33.617770000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0018","114"
"Apr  3, 2025 09:04:33.618106000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0018","1178"
"Apr  3, 2025 09:04:33.619037000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0018","1178"
"Apr  3, 2025 09:04:33.619123000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0018","114"
"Apr  3, 2025 09:04:33.619971000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0018","114"
"Apr  3, 2025 09:04:33.638557000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0018","598"
"Apr  3, 2025 09:04:33.639279000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0018","598"
"Apr  3, 2025 09:04:33.639296000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","82"
"Apr  3, 2025 09:04:33.639870000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0018","82"
"Apr  3, 2025 09:04:33.640736000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0018","598"
"Apr  3, 2025 09:04:33.641361000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0018","82"
"Apr  3, 2025 09:04:33.641452000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0018","598"
"Apr  3, 2025 09:04:33.642293000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0018","82"
"Apr  3, 2025 09:04:33.679771000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0010","66"
"Apr  3, 2025 09:04:33.679809000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","118"
"Apr  3, 2025 09:04:33.679838000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0010","66"
"Apr  3, 2025 09:04:33.680031000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0018","118"
"Apr  3, 2025 09:04:33.680253000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","134"
"Apr  3, 2025 09:04:33.681693000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0010","66"
"Apr  3, 2025 09:04:33.681734000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0018","118"
"Apr  3, 2025 09:04:33.681762000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0010","66"
"Apr  3, 2025 09:04:33.681914000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0018","118"
"Apr  3, 2025 09:04:33.682137000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0018","134"
"Apr  3, 2025 09:04:33.682757000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0010","66"
"Apr  3, 2025 09:04:33.682783000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0010","66"
"Apr  3, 2025 09:04:33.682801000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0018","118"
"Apr  3, 2025 09:04:33.682826000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0010","66"
"Apr  3, 2025 09:04:33.682833000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0018","118"
"Apr  3, 2025 09:04:33.682865000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0010","66"
"Apr  3, 2025 09:04:33.683001000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0018","118"
"Apr  3, 2025 09:04:33.683004000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0018","118"
"Apr  3, 2025 09:04:33.683173000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0018","134"
"Apr  3, 2025 09:04:33.683175000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0018","134"
"Apr  3, 2025 09:04:33.689013000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0018","118"
